57458,2,6,5,1.02,90,0.04,38220,15.13,153,0.05,0,0,81.55,83.63,55.59,46.64,1464.28,999.81,864.41,588.76,1802.3,1230.13,14.55,9.9,5.83,3.98,0
42032,1,6,4,0.46,3,0.01,40338,15.28,19,0.01,0,0,18.27,32.37,28.72,20.76,752.96,373.56,444.32,219.06,928.14,458.4,7.47,3.68,3.02,1.48,0
19719,2,6,4,0.62,4,0.04,18113,14.09,70,0.05,0,0,127.11,142.06,59.12,61.51,1510.6,1170.27,894.56,688.39,1860.8,1439.82,15.03,11.6,6.04,4.67,0
58070,2,6,6,1.68,213,0.2,39023,15.01,931,0.28,0,0,146.02,117.76,66.88,95.1,1547,1024.9,926.59,598.86,1909.8,1256.5,15.46,10.11,6.26,4.07,0
11307,2,6,7,0.71,4,0.14,9871,13.12,183,0.24,0,0,110.28,171.88,62.38,131.89,1239.22,1335.55,753.81,789.31,1536.28,1640.31,12.43,13.26,5.13,5.37,0
47112,2,6,5,1.65,5,0.11,32472,14.77,601,0.22,0,0,81.83,102.42,45.55,103.33,920.99,564.91,556.64,337.28,1142.61,693.75,9.19,5.54,3.83,2.41,0
71151,2,6,6,1.66,63,0.13,43339,15.18,920,0.23,0,0,206.59,142.2,75.85,137.95,1611.82,814.36,973.57,476.68,1994.48,991.12,16.14,7.99,6.61,3.29,0
24621,2,6,6,1.75,5,0.16,18363,13.92,466,0.3,0,0,29.07,67.62,38.6,67.99,768.98,393.23,461.55,222.23,952.56,477.79,7.6,3.75,3.17,1.58,0
165510,1,6,5,2.08,5,0.14,62455,15.66,2694,0.31,0,0,128.72,196.54,69.12,164.88,1340.6,1202.15,816.42,714.91,1662.3,1474.02,13.44,11.89,5.56,4.91,0
125606,2,6,9,2.22,211,0.14,62502,15.76,1394,0.21,0,0,52.54,93.89,37.72,98,778.58,477.18,471.66,292.77,964.57,587.17,7.8,4.71,3.21,2.09,0
185321,1,6,9,2.83,8,0.18,62554,15.65,3434,0.36,0,0,16.57,64.55,31.91,94.57,549.57,342.95,340.28,214.41,684.68,424.07,5.54,3.31,2.34,1.64,0
149775,1,6,11,3.27,11,0.1,60951,15.68,1305,0.16,0,0,11.56,48.49,25.06,50.57,536.37,279.11,324.1,161.73,666.03,342.64,5.38,2.66,2.24,1.2,0
128665,2,6,13,3.39,87,0.22,59116,15.54,2670,0.39,0,0,11.33,45.41,28.02,69.08,506.16,212.89,310.1,121.97,629.95,260.86,5.07,1.88,2.14,1.02,0
