93,2,6.12,41,4.68,19,3.48,92,6.52,3,0.91,0,0,0.78,2.54,1966.64,4344.15,18630.87,28424.92,2736.95,4566.78,19669.67,29421.08,14.11,10.19,19.08,19.25,0
39,2,6.29,19,3.84,11,3.01,38,5.25,3,0.8,0,0,1.89,3.67,170.61,34.01,24426.11,35415.49,924.13,690.13,25549.42,36777.2,13.82,12.59,20.66,25.26,0
54,2,6.21,17,3.39,10,2.81,53,5.73,3,0.58,0,0,1.58,3.07,177.74,27.75,24025.02,25208.54,906.72,483.14,25113.89,26172.57,13.36,8.79,20.02,17.9,0
59,1,6,15,3.42,8,2.44,58,5.86,2,0.29,0,0,1.1,2.55,181.79,21.1,34530.53,30693.67,1106.86,595.26,36020.74,31879.73,16.98,10.91,27.45,21.99,0
47,2,6.24,19,3.73,8,2.62,46,5.52,3,0.76,0,0,1.83,3.53,172.61,33.81,27466.35,37794.88,978.43,732.62,28705.61,39255.46,14.78,13.39,22.8,27.09,0
42,1,6,19,3.74,10,2.52,40,5.31,4,0.86,0,0,1.9,3.33,164.93,48.19,13502.02,26896.83,695.8,535.41,14183.98,27939.26,9.68,9.67,12.49,19.36,0
32,2,6.35,18,3.84,10,2.97,31,4.95,3,0.83,0,0,1.81,3.68,170.35,34.32,22694.84,33974.98,888.42,655.14,23751.23,35281.27,13.16,11.95,19.42,24.24,0
69,2,6.32,24,3.96,10,2.53,67,6.06,3,0.57,0,0,0.91,2.67,179.62,24.99,40658.93,45101.1,1225.74,877.26,42399.46,46852.71,19.24,16.11,32.09,32.46,0
60,2,6.37,24,3.92,8,2.18,59,5.88,4,0.77,0,0,1.24,3.23,175.76,30.81,34046.46,33498.56,1107.08,671.82,35534.15,34783.13,17.12,12.22,27.41,23.83,0
62,1,6,22,4,7,1.76,61,5.93,2,0.46,0,0,0.98,2.98,177.82,28.15,44719,43927.12,1326.9,877.07,46629.39,45620.04,21.13,16.06,35.23,31.37,0
64,2,6.17,21,3.88,9,1.81,63,5.98,3,0.52,0,0,0.79,2.7,179.76,25.94,42341.59,37817.57,1264.02,737.18,44147.75,39276.74,19.94,13.49,33.3,27.04,0
71,2,6.16,20,3.94,9,1.72,68,6.06,6,0.8,0,0,0.77,2.6,173.61,44.17,39686.69,38458.37,1197.3,759.07,41380.57,39953.63,18.81,13.76,31.23,27.71,0
54,2,6.21,23,4.2,9,2.04,53,5.73,3,0.45,0,0,0.79,2.44,180.75,24.87,28345.55,30701.26,994.08,601.64,29596.42,31892.03,14.92,11,23.02,22.07,0
80,2,6.56,23,4,8,2.31,77,6.25,4,0.84,0,0,1.49,3.3,179,53.33,32908.01,28418.32,1080.44,556.4,34342.85,29505.81,16.57,10.09,26.43,20.18,0
83,2,6.13,17,3.57,8,2.19,82,6.36,3,0.32,0,0,0.83,2.19,184.66,17.92,36376.93,25779.29,1138.07,498.21,37931.73,26777.39,17.51,9.14,28.65,18.5,0
91,1,6,29,4.23,8,2.26,90,6.49,2,0.39,0,0,1.11,2.81,180.01,25.35,35938.22,32841.27,1142.01,635.43,37491.82,34105.65,17.67,11.62,28.62,23.44,0
81,2,6.14,21,3.78,7,1.67,80,6.32,3,0.43,0,0,0.65,2.42,182.66,22.98,42342.31,34308.08,1257.59,663.3,44143.01,35632.56,19.76,12.17,33.2,24.55,0
76,1,6,25,3.87,9,2.13,74,6.2,4,0.65,0,0,0.96,2.91,173.48,39.74,38093.03,37911.14,1178.68,737.13,39734.49,39375.09,18.47,13.38,30.25,27.14,0
51,2,6.22,17,3.55,10,2.45,50,5.64,3,0.47,0,0,0.84,2.5,180.96,22.82,35410.9,31441.45,1121.68,608.72,36937.22,32655.98,17.28,11.13,28.12,22.51,0
55,2,6.41,22,3.8,9,2.7,53,5.72,3,0.82,0,0,1.78,3.6,173.48,33.6,27039.09,30161.85,969.74,584.63,28255.8,31313.91,14.61,10.62,22.39,21.39,0
52,2,6.22,16,3.45,9,2.52,51,5.67,3,0.46,0,0,0.86,2.48,180.61,22.66,31407.14,32009.95,1058.57,631.21,32781.92,33250.16,16.12,11.56,25.31,22.99,0
33,1,6,18,3.8,9,2.81,32,5,2,0.7,0,0,2.25,3.9,164.94,35,22437.19,37705.49,888.44,722.77,23496.5,39152.99,13.25,13.17,19.47,26.85,0
27,1,6,14,3.38,9,2.89,26,4.7,2,0.71,0,0,2.08,3.9,167.42,36.52,21594.62,35857.65,873.27,687.38,22624.46,37232.11,12.92,12.55,18.92,25.5,0
45,2,6.25,21,3.83,13,3.12,42,5.35,6,1.18,0,0,1.64,3.47,160.89,54.03,28821.43,40492.25,984.57,817.36,30101.39,42063.56,15.11,14.75,23.57,29.14,0
24,2,6.48,17,3.91,8,2.71,23,4.52,3,1.16,0,0,6.43,12.7,154.22,46.66,1622.57,2560.43,502.04,50.67,1900.22,2637.27,6.35,1.43,5,2.5,0
19,2,6.61,12,3.3,7,2.32,18,4.17,3,0.61,0,0,3,9.29,189.44,58.83,5441.83,12164.25,552.67,232.09,5797.39,12635.5,6.61,4.39,6.44,8.8,0
27,2,6.42,20,4.03,8,2.64,26,4.7,3,1.14,0,0,3.69,4.66,151.77,42.82,3421.38,9528.23,526.62,184.44,3769.69,9875.98,6.81,3.49,6.31,6.75,0
28,1,6,14,3.35,8,2.73,27,4.75,2,0.5,0,0,1.11,3.14,173.22,29.24,22801.78,35704.85,889.22,687.84,23857.78,37083.13,13.11,12.59,19.41,25.56,0
