702,2,6.03,19,0.66,9,1.72,114,2.96,250,7.5,0.0,0.0,0.09,0.84,13.95,49.32,752.9,4372.72,102.46,167.91,794.27,4566.25,1.56,2.29,0.75,3.62,0
632,2,6.05,23,0.78,10,1.74,111,3.09,218,7.31,0.0,0.0,0.19,1.3,14.61,52.56,848.72,4847.69,107.68,180.94,896.08,5061.83,1.64,2.53,0.87,4.03,0
634,2,6.03,19,0.63,11,1.75,94,2.88,223,7.39,0.0,0.0,0.22,3.16,12.17,47.59,1763.95,11891.84,119.01,298.09,1843.47,12376.66,1.9,4.89,1.46,8.98,0
688,2,6.03,25,0.68,11,1.71,107,2.93,241,7.49,0.0,0.0,0.16,1.22,12.32,45.57,1236.06,8933.33,110.5,240.57,1297.47,9301.9,1.74,3.81,1.13,6.86,0
697,1,6.0,19,0.58,10,1.73,107,2.88,249,7.53,0.0,0.0,0.08,0.85,11.9,45.72,601.86,3722.08,96.16,152.26,636.24,3890.0,1.48,2.04,0.63,3.15,0
708,1,6.0,17,0.63,9,1.77,116,2.98,248,7.49,0.0,0.0,0.15,1.16,13.04,47.58,666.87,3781.65,101.11,160.75,705.66,3953.56,1.55,2.16,0.71,3.24,0
614,1,6.0,16,0.46,9,1.6,87,2.76,217,7.4,0.0,0.0,0.11,1.01,8.23,37.79,475.6,3529.75,87.18,137.49,503.59,3687.06,1.38,1.9,0.51,2.98,0
648,2,6.02,22,0.82,12,1.74,117,3.13,221,7.29,0.0,0.0,0.17,1.22,16.02,52.09,1328.64,8075.25,120.33,236.11,1396.48,8412.55,1.85,3.6,1.24,6.29,0
733,2,6.02,21,1.25,107,2.94,104,3.24,312,7.73,0.0,0.0,0.1,0.97,14.17,49.5,1218.41,7724.81,127.13,223.95,1279.03,8047.43,2.0,3.42,1.11,6.0,0
643,2,6.02,16,0.74,8,1.72,95,3.02,222,7.3,0.0,0.0,0.13,0.99,15.51,51.99,2019.04,11598.18,130.23,298.83,2110.47,12074.13,2.04,4.79,1.68,8.81,0
642,1,6.0,19,0.69,9,1.78,93,2.95,223,7.34,0.0,0.0,0.15,1.18,13.84,48.25,1099.44,6142.06,111.84,203.12,1157.48,6404.65,1.73,2.97,1.06,4.92,0
643,2,6.02,18,0.67,10,1.81,103,2.99,225,7.34,0.0,0.0,0.1,1.0,13.74,48.52,2132.16,12447.14,129.87,313.16,2228.43,12955.52,2.07,5.1,1.77,9.42,0
645,1,6.0,17,0.78,9,1.8,117,3.12,220,7.27,0.0,0.0,0.15,1.17,16.43,53.01,1196.77,6060.4,118.1,207.75,1258.81,6322.15,1.8,2.98,1.14,4.89,0
652,2,6.05,24,0.87,12,1.76,112,3.12,226,7.32,0.0,0.0,0.15,1.08,16.3,52.65,2026.58,12181.16,132.76,308.75,2119.53,12678.72,2.08,5.0,1.71,9.22,0
659,1,6.0,23,0.87,10,1.84,123,3.17,211,7.19,0.0,0.0,0.16,1.2,18.09,54.76,2528.16,13314.19,148.55,343.74,2644.97,13858.09,2.33,5.58,2.15,10.09,0
648,2,6.05,21,0.75,9,1.77,107,3.05,197,7.16,0.0,0.0,0.12,1.05,15.05,50.97,809.21,4456.01,106.42,173.19,853.94,4654.65,1.61,2.36,0.82,3.72,0
665,2,6.02,19,0.88,10,1.86,124,3.23,225,7.24,0.0,0.0,0.12,1.03,18.84,56.54,1745.29,7858.75,132.51,244.55,1829.73,8193.01,2.02,3.61,1.55,6.2,0
652,2,6.05,24,0.81,10,1.84,116,3.1,226,7.33,0.0,0.0,0.17,1.26,16.38,54.92,1677.38,8169.83,126.99,247.57,1758.9,8515.01,1.97,3.74,1.5,6.42,0
665,1,6.0,18,0.88,10,1.88,131,3.27,224,7.2,0.0,0.0,0.07,0.83,20.46,58.72,2003.61,8411.18,140.58,261.58,2099.19,8768.06,2.14,3.89,1.75,6.62,0
681,2,6.02,22,1.04,12,1.89,144,3.41,228,7.18,0.0,0.0,0.16,1.17,22.61,61.31,1910.9,8683.9,143.85,262.8,2004.81,9049.35,2.16,3.92,1.72,6.79,0
643,2,6.02,23,0.8,9,1.92,119,3.1,233,7.34,0.0,0.0,0.2,1.34,16.07,52.12,839.41,4413.48,111.63,180.85,887.93,4610.77,1.69,2.48,0.88,3.73,0
629,2,6.02,16,0.74,9,1.44,112,2.68,264,7.5,0.0,0.0,0.05,0.69,17.39,54.94,971.0,4709.45,112.87,185.32,1023.16,4921.03,1.69,2.5,0.95,3.95,0
633,1,6.0,23,0.78,9,1.45,110,2.64,265,7.56,0.0,0.0,0.2,1.3,14.23,48.99,840.28,5956.82,107.58,191.37,887.34,6208.39,1.65,2.8,0.86,4.72,0
633,2,6.02,19,0.78,7,1.43,114,2.7,264,7.52,0.0,0.0,0.14,1.09,16.51,53.11,1154.73,6877.99,116.46,214.59,1214.67,7168.63,1.77,3.16,1.1,5.42,0
627,1,6.0,17,0.66,8,1.4,104,2.57,265,7.58,0.0,0.0,0.16,1.14,13.69,48.36,1018.51,6099.63,108.81,197.39,1071.42,6358.6,1.68,2.88,0.97,4.84,0
625,2,6.04,16,0.61,9,1.4,103,2.57,266,7.58,0.0,0.0,0.07,0.79,13.77,49.28,733.46,4295.78,101.11,165.13,773.51,4486.65,1.54,2.25,0.73,3.57,0
633,2,6.02,26,0.78,9,1.47,110,2.64,266,7.58,0.0,0.0,0.24,1.45,13.82,47.94,793.15,4989.1,106.79,178.97,839.34,5204.75,1.64,2.54,0.84,4.08,0
630,2,6.03,22,0.74,7,1.38,106,2.6,266,7.58,0.0,0.0,0.16,1.13,14.04,49.01,1226.88,9016.77,113.37,243.24,1287.6,9388.91,1.76,3.84,1.11,6.92,0
605,1,6.0,16,0.52,8,1.32,91,2.41,261,7.61,0.0,0.0,0.07,0.81,11.07,44.01,618.95,4131.61,94.62,155.97,653.7,4314.29,1.47,2.15,0.63,3.43,0
